"id","1a","1b","1aNb","1aORb","1aNnotb","1bNnota","conj_1","disj_1","2a","2b","2aNb","2aORb","2aNnotb","2bNnota","conj_2","disj_2","3a","3b","3aNb","3aORb","3aNnotb","3bNnota","conj_3","disj_3","4a","4b","4aNb","4aORb","4aNnotb","4bNnota","conj_4","disj_4","5a","5b","5aNb","5aORb","5aNnotb","5bNnota","conj_5","disj_5","6a","6b","6aNb","6aORb","6aNnotb","6bNnota","conj_6","disj_6","7a","7b","7aNb","7aORb","7aNnotb","7bNnota","conj_7","disj_7","8a","8b","8aNb","8aORb","8aNnotb","8bNnota","conj_8","disj_8","number_conj","number_disj","number_conj_disj","z1_d","z2_d","z3_d","z4_d","z5_d","z6_d","d_average","sd_d"
"ID_HY8U5PGYS8",30,25,20,50,5,10,0,0,40,50,25,70,20,35,0,0,40,30,10,60,40,20,0,0,25,35,10,70,15,30,0,0,7,40,3,40,25,50,1,0,35,40,30,65,15,30,0,0,7,25,2,65,7,30,1,0,40,40,10,70,25,35,0,0,2,0,2,-0.0325,-0.06625,0.0475,0.08125,0.0075,0.064375,0.0169791666666667,0.0579202262095606
"ID_F7UAQMZBHY",60,35,15,70,15,25,0,0,35,30,35,60,15,20,1,0,35,60,10,50,30,55,0,1,35,25,15,75,25,30,1,0,5,45,3,60,0,55,1,0,25,45,35,45,35,50,1,0,5,35,0,55,4,45,1,0,45,35,30,50,50,0,1,0,6,1,7,0.075,0.02375,0.09,0.14125,0.0825,0.115625,0.0880208333333333,0.0398246481989065
"ID_IQTE04H92U",29,39,31,25,17,10,1,1,35,35,28,45,9,25,0,0,35,29,13,49,34,40,1,0,39,50,10,40,28,31,0,1,10,63,14,56,27,55,1,1,50,63,47,32,24,50,0,1,10,39,5,18,8,32,0,1,63,35,32,70,44,0,0,0,3,5,8,0.22375,0.26125,0.125,0.0875,0.174375,0.10625,0.163020833333333,0.069047556829816
"ID_8FJT1TWFYF",45,40,40,80,12,0,0,0,70,65,75,100,20,7,1,0,70,45,1,71,65,80,1,0,40,30,15,80,70,40,1,0,35,65,30,71,30,70,1,0,30,65,40,70,10,40,1,0,35,40,0,55,100,65,1,0,65,70,60,75,60,0,0,0,6,0,6,0.1125,0.23125,0.2975,0.17875,0.205,0.238125,0.210520833333333,0.0622976934096814
"ID_KTT7IMECZQ",40,100,100,100,40,10,1,0,100,60,40,100,30,100,1,0,100,40,90,100,30,100,1,0,100,30,100,100,90,100,1,0,80,100,100,50,3,30,1,1,30,100,100,100,90,40,1,0,80,100,80,100,80,100,0,0,100,100,100,60,60,0,0,1,6,2,8,0.5,0.42875,0.62875,0.7,0.564375,0.664375,0.581041666666667,0.103353660635058
"ID_KJUUGEII0L",40,40,40,40,8,8,0,0,30,40,30,40,30,60,1,0,30,40,10,60,30,40,0,0,40,10,10,45,50,10,1,0,5,60,70,30,5,60,1,1,10,60,45,60,4,75,1,0,5,40,20,35,5,40,1,1,60,30,30,50,75,0,1,1,6,3,9,0.19125,0.20875,0.3025,0.285,0.246875,0.29375,0.2546875,0.0467469083202301
"ID_MSC5G80MXJ",30,45,25,45,5,10,0,0,30,30,20,50,5,30,0,0,30,30,10,70,20,25,0,0,45,50,25,50,25,20,0,0,5,50,5,35,3,25,0,1,50,50,20,60,25,25,0,0,5,45,3,35,5,30,0,1,50,30,25,50,25,0,0,0,0,2,2,0.01875,0.06,0.00125,-0.04,0.01,-0.019375,0.00510416666666667,0.0342701051087776
"ID_7U2X715SXI",50,60,45,60,10,20,0,0,21,30,35,40,10,34,1,0,21,50,10,80,15,40,0,0,60,10,15,60,40,22,1,0,8,15,5,40,8,18,1,0,10,15,14,25,18,10,1,0,8,60,10,50,6,50,1,1,15,21,20,35,20,1,1,0,6,1,7,-0.0025,-0.0025,0.11,0.11,0.05375,0.11,0.063125,0.0553045545140723
"ID_BDKH1UBT48",65,35,50,50,2,0,1,1,50,50,45,70,25,25,0,0,50,65,25,50,5,35,0,1,35,35,35,15,25,45,1,1,5,25,35,35,15,25,1,0,35,25,25,15,25,25,0,1,5,35,10,65,10,65,1,0,25,50,25,35,25,10,0,1,4,5,9,0.20625,0.14625,0.14,0.2,0.173125,0.17,0.172604166666667,0.0270081488474621
"ID_BGZTQ0GG1X",60,40,30,30,10,5,0,1,50,70,60,60,10,40,1,1,50,60,40,60,70,30,1,0,40,40,20,40,20,60,1,0,10,60,10,60,5,70,1,0,40,60,60,60,50,50,1,0,10,40,10,60,15,70,1,0,60,50,70,60,50,65,1,0,7,2,9,0.35,0.275,0.2625,0.3375,0.30625,0.3,0.305208333333333,0.0340992729639015
"ID_7VRDPOX6E9",50,40,25,30,10,30,0,1,20,20,15,20,20,30,1,0,20,50,10,60,30,45,1,0,40,40,30,70,60,25,1,0,10,40,20,60,10,30,1,0,40,40,30,70,30,20,0,0,10,40,5,50,5,75,1,0,40,20,30,40,20,0,1,0,6,1,7,0.10625,0.09375,0.15,0.1625,0.128125,0.15625,0.1328125,0.0282116720082309
"ID_5WXDO9CU7F",25,25,30,40,15,20,1,0,25,60,25,65,20,20,0,0,25,25,10,50,20,20,0,0,25,30,5,30,15,5,0,0,4,40,8,40,3,40,1,0,30,40,25,50,5,35,0,0,4,25,40,30,15,30,1,0,40,25,20,60,35,20,0,0,3,0,3,0.00375,0.04125,0.14125,0.10375,0.0725,0.1225,0.0808333333333333,0.0519414734741581
"ID_6QMYRYJ2ID",50,50,33,50,33,50,0,0,50,50,33,33,33,33,0,1,50,50,20,50,33,50,0,0,50,50,33,33,60,33,1,1,20,50,33,66,50,60,1,0,50,50,40,66,33,33,0,0,20,50,50,66,33,50,1,0,50,50,33,33,50,50,0,1,3,3,6,0.3775,0.41,0.325,0.2925,0.35125,0.30875,0.344166666666667,0.0442412891614459
"ID_FOXS0KC3OD",40,45,60,60,30,40,1,0,40,65,80,40,20,70,1,1,40,40,5,50,80,70,1,0,45,70,60,50,60,90,1,1,60,60,60,40,30,70,1,1,70,60,70,65,60,50,1,1,60,45,10,50,40,20,0,1,60,40,60,40,30,60,1,1,7,6,13,0.6125,0.475,0.425,0.5625,0.51875,0.49375,0.514583333333333,0.0662224785602794
"ID_BKU9G7QW1I",50,50,35,50,15,10,0,0,40,10,10,50,10,20,1,0,40,50,15,60,20,50,0,0,50,30,60,55,20,15,1,0,5,60,10,65,3,40,1,0,30,60,15,75,10,25,0,0,5,50,3,40,4,35,0,1,60,40,30,65,30,0,0,0,3,1,4,0.01875,0.0025,0.0125,0.02875,0.015625,0.020625,0.0164583333333333,0.00877377721774759
"ID_XGS73O0XJA",25,33,20,33,10,10,0,0,33,50,25,20,20,20,0,1,33,25,15,60,80,20,1,0,33,15,5,40,33,15,0,0,10,60,10,10,5,50,0,1,15,60,50,33,15,33,1,1,10,33,5,5,10,20,0,1,60,33,40,66,25,0,1,0,3,4,7,0.15,0.3,0.18625,0.03625,0.168125,0.11125,0.158645833333333,0.0873323542804536
"ID_8B7VG4BD1J",50,50,100,10,30,20,1,1,20,50,10,30,30,10,1,1,20,50,15,60,15,20,0,0,50,50,20,30,15,15,0,1,5,50,5,60,5,50,0,0,50,50,20,60,15,20,0,0,5,50,10,5,3,20,1,1,50,20,5,50,15,5,0,0,3,4,7,0.13125,0.24125,0.07875,-0.03125,0.105,0.02375,0.0914583333333333,0.093816365398936
